Date,WarehouseID,ProductID,OpeningUnits,ReceivedUnits,ShippedUnits,StorageUnits,WIPUnits,ClosingUnits,ClosingValueUSD,DailyValueSumUSD,CalendarDays,StockoutDays,Age0to30USD,Age31to60USD,Age61to90USD,Age91to180USD,AgeOver180USD
2024-01-31,1,1,220,0,90,130,0,130,10052.9,441167.65,31,0,0.0,0.0,10052.9,0.0,0.0
2024-01-31,1,2,144,142,71,215,0,215,12642.0,296763.6,31,0,8349.6,4292.4,0.0,0.0,0.0
2024-01-31,1,3,179,145,59,241,24,265,8980.85,158706.87,31,0,4914.05,0.0,0.0,3253.44,0.0
2024-01-31,1,4,145,144,138,151,0,151,11805.18,300758.46,31,0,11257.92,547.26,0.0,0.0,0.0
2024-01-31,1,5,174,149,144,179,0,179,1005.98,23907.48,31,0,837.38,168.6,0.0,0.0,0.0
2024-01-31,1,6,179,0,87,92,0,92,1015.68,53036.16,31,0,0.0,1015.68,0.0,0.0,0.0
2024-01-31,1,7,189,0,59,126,4,130,7356.7,317130.36,31,0,0.0,0.0,0.0,7130.34,0.0
2024-01-31,1,8,126,126,49,203,0,203,9449.65,157571.75,31,0,5865.3,3584.35,0.0,0.0,0.0
2024-01-31,1,9,207,0,148,55,4,59,602.98,39009.74,31,0,0.0,562.1,0.0,0.0,0.0
2024-01-31,1,10,261,0,36,214,11,225,14294.25,498011.67,31,0,0.0,0.0,13595.42,0.0,0.0
2024-01-31,1,11,229,0,78,151,0,151,8067.93,313740.96,31,0,0.0,8067.93,0.0,0.0,0.0
2024-01-31,1,12,153,147,192,94,14,108,6329.88,207010.52,31,0,5509.34,0.0,0.0,0.0,0.0
2024-01-31,1,13,226,0,81,145,0,145,10614.0,427122.0,31,0,0.0,0.0,10614.0,0.0,0.0
2024-01-31,1,14,170,0,99,59,12,71,4260.71,244120.68,31,0,0.0,0.0,3540.59,0.0,0.0
2024-01-31,1,15,224,0,81,121,22,143,6608.03,247223.5,31,0,0.0,5591.41,0.0,0.0,0.0
2024-01-31,1,16,117,154,175,67,29,96,2139.84,76164.93,31,0,1493.43,0.0,0.0,0.0,0.0
2024-01-31,1,17,270,0,148,122,0,122,9025.56,484716.96,31,0,0.0,0.0,0.0,9025.56,0.0
2024-01-31,1,18,193,0,125,50,18,68,3177.64,180190.88,31,0,0.0,2336.5,0.0,0.0,0.0
2024-01-31,1,19,233,0,114,110,9,119,1623.16,64421.72,31,0,0.0,1500.4,0.0,0.0,0.0
2024-01-31,1,20,206,0,123,67,16,83,4855.5,327483.0,31,0,0.0,0.0,3919.5,0.0,0.0
2024-01-31,1,21,238,0,87,147,4,151,3228.38,136147.84,31,0,0.0,3142.86,0.0,0.0,0.0
2024-01-31,1,22,166,144,117,193,0,193,3618.75,81618.75,31,0,2700.0,918.75,0.0,0.0,0.0
2024-01-31,1,23,260,0,156,104,0,104,8323.12,495145.61,31,0,0.0,0.0,0.0,8323.12,0.0
2024-01-31,1,24,165,128,31,243,19,262,21256.06,395021.97,31,0,10384.64,0.0,0.0,9329.95,0.0
2024-01-31,1,25,155,171,168,158,0,158,2069.8,55177.2,31,0,2069.8,0.0,0.0,0.0,0.0
2024-01-31,1,26,167,0,66,101,0,101,5618.63,245272.67,31,0,0.0,5618.63,0.0,0.0,0.0
2024-01-31,1,27,173,0,60,106,7,113,8894.23,353880.16,31,0,0.0,0.0,8343.26,0.0,0.0
2024-01-31,1,28,225,0,120,87,18,105,1061.55,45909.51,31,0,0.0,0.0,879.57,0.0,0.0
2024-01-31,1,29,223,0,67,156,0,156,2265.12,91403.4,31,0,0.0,2265.12,0.0,0.0,0.0
2024-01-31,1,30,251,0,88,143,20,163,4880.22,192454.32,31,0,0.0,0.0,0.0,4281.42,0.0
2024-01-31,1,31,165,0,101,59,5,64,1372.8,70098.6,31,0,0.0,1265.55,0.0,0.0,0.0
2024-01-31,1,32,164,0,98,40,26,66,696.96,40286.4,31,0,0.0,422.4,0.0,0.0,0.0
2024-01-31,2,1,154,0,35,114,5,119,9202.27,322930.08,31,0,0.0,0.0,8815.62,0.0,0.0
2024-01-31,2,2,178,0,57,121,0,121,7114.8,273714.0,31,0,0.0,0.0,0.0,7114.8,0.0
2024-01-31,2,3,160,145,103,163,39,202,6845.78,137390.06,31,0,4914.05,610.02,0.0,0.0,0.0
2024-01-31,2,4,166,0,63,103,0,103,8052.54,307716.48,31,0,0.0,0.0,8052.54,0.0,0.0
2024-01-31,2,5,258,0,83,170,5,175,983.5,39958.2,31,0,0.0,0.0,955.4,0.0,0.0
2024-01-31,2,6,172,0,47,118,7,125,1380.0,50596.32,31,0,0.0,0.0,0.0,1302.72,0.0
2024-01-31,2,7,168,0,124,44,0,44,2489.96,221210.31,31,0,0.0,0.0,2489.96,0.0,0.0
2024-01-31,2,8,144,122,140,104,22,126,5865.3,153894.3,31,0,4841.2,0.0,0.0,0.0,0.0
2024-01-31,2,9,242,0,108,114,20,134,1369.48,61963.86,31,0,0.0,0.0,0.0,1165.08,0.0
2024-01-31,2,10,252,0,157,82,13,95,6035.35,312122.89,31,0,0.0,0.0,0.0,5209.46,0.0
2024-01-31,2,11,268,0,147,112,9,121,6465.03,341631.42,31,0,0.0,0.0,0.0,5984.16,0.0
2024-01-31,2,12,250,0,92,150,8,158,9260.38,375983.15,31,0,0.0,0.0,8791.5,0.0,0.0
2024-01-31,2,13,250,0,50,176,24,200,14640.0,539630.4,31,0,0.0,0.0,0.0,12883.2,0.0
2024-01-31,2,14,213,0,86,111,16,127,7621.27,308511.41,31,0,0.0,0.0,6661.11,0.0,0.0
2024-01-31,2,15,144,0,67,77,0,77,3558.17,168897.55,31,0,0.0,0.0,3558.17,0.0,0.0
