OrderID,OrderDate,PromisedDate,WarehouseID,ProductID,Priority,OrderedUnits,ShippedUnits,CompleteDate,UnitPriceUSD,FulfilledByDueMonthUnits,OnTimeFull
1,2024-01-01,2024-01-04,1,32,Standard,6,6,2024-01-03,16.37,6,1
2,2024-01-01,2024-01-04,1,8,Standard,3,3,2024-01-03,72.15,3,1
3,2024-01-01,2024-01-04,1,25,Standard,18,18,2024-01-03,20.3,18,1
4,2024-01-01,2024-01-08,1,15,Standard,10,10,2024-01-03,71.63,10,1
5,2024-01-01,2024-01-08,1,31,Standard,13,13,2024-01-03,33.25,13,1
6,2024-01-01,2024-01-04,1,15,Standard,12,12,2024-01-03,71.63,12,1
7,2024-01-01,2024-01-04,1,22,Standard,17,17,2024-01-03,29.06,17,1
8,2024-01-01,2024-01-04,1,9,Standard,22,22,2024-01-03,15.84,22,1
9,2024-01-01,2024-01-08,1,32,Standard,3,3,2024-01-03,16.37,3,1
10,2024-01-01,2024-01-04,1,12,Expedite,7,7,2024-01-03,90.85,7,1
11,2024-01-01,2024-01-04,1,18,Standard,14,14,2024-01-03,72.43,14,1
12,2024-01-01,2024-01-08,1,22,Standard,7,7,2024-01-03,29.06,7,1
13,2024-01-01,2024-01-04,1,31,Expedite,12,12,2024-01-03,33.25,12,1
14,2024-01-01,2024-01-04,1,13,Standard,13,13,2024-01-03,113.46,13,1
15,2024-01-01,2024-01-08,2,30,Expedite,5,5,2024-01-03,46.41,5,1
16,2024-01-01,2024-01-08,2,20,Standard,3,3,2024-01-03,90.67,3,1
17,2024-01-01,2024-01-04,2,21,Expedite,3,3,2024-01-03,33.14,3,1
18,2024-01-01,2024-01-04,2,28,Standard,14,14,2024-01-03,15.67,14,1
19,2024-01-01,2024-01-04,2,16,Standard,18,18,2024-01-03,34.55,18,1
20,2024-01-01,2024-01-04,2,9,Standard,16,16,2024-01-03,15.84,16,1
21,2024-01-01,2024-01-04,2,26,Standard,14,14,2024-01-03,86.23,14,1
22,2024-01-01,2024-01-08,2,32,Standard,21,21,2024-01-03,16.37,21,1
23,2024-01-01,2024-01-04,2,6,Standard,10,10,2024-01-03,17.11,10,1
24,2024-01-01,2024-01-08,2,18,Expedite,8,8,2024-01-03,72.43,8,1
25,2024-01-01,2024-01-04,3,9,Standard,10,10,2024-01-03,15.84,10,1
26,2024-01-01,2024-01-04,3,10,Standard,17,17,2024-01-03,98.47,17,1
27,2024-01-01,2024-01-08,3,24,Standard,5,5,2024-01-03,125.75,5,1
28,2024-01-01,2024-01-04,3,7,Standard,20,20,2024-01-03,87.71,20,1
29,2024-01-01,2024-01-08,3,1,Standard,14,14,2024-01-03,119.86,14,1
30,2024-01-01,2024-01-04,3,23,Expedite,13,13,2024-01-03,124.05,13,1
31,2024-01-01,2024-01-04,3,21,Expedite,19,19,2024-01-03,33.14,19,1
32,2024-01-01,2024-01-08,3,30,Expedite,11,11,2024-01-03,46.41,11,1
33,2024-01-01,2024-01-04,3,31,Standard,9,9,2024-01-03,33.25,9,1
34,2024-01-01,2024-01-04,3,25,Standard,7,7,2024-01-03,20.3,7,1
35,2024-01-01,2024-01-04,3,15,Standard,6,6,2024-01-03,71.63,6,1
36,2024-01-01,2024-01-04,3,25,Expedite,15,15,2024-01-03,20.3,15,1
37,2024-01-01,2024-01-04,3,29,Standard,8,8,2024-01-03,22.51,8,1
38,2024-01-01,2024-01-04,3,2,Expedite,3,3,2024-01-03,91.14,3,1
39,2024-01-02,2024-01-08,1,28,Standard,13,13,2024-01-04,15.67,13,1
40,2024-01-02,2024-01-05,1,9,Standard,14,14,2024-01-04,15.84,14,1
41,2024-01-02,2024-01-05,1,11,Standard,8,8,2024-01-04,82.82,8,1
42,2024-01-02,2024-01-08,1,12,Expedite,11,11,2024-01-04,90.85,11,1
43,2024-01-02,2024-01-05,1,16,Standard,21,21,2024-01-04,34.55,21,1
44,2024-01-02,2024-01-05,1,1,Standard,10,10,2024-01-04,119.86,10,1
45,2024-01-02,2024-01-05,1,19,Standard,22,22,2024-01-04,21.14,22,1
46,2024-01-02,2024-01-05,1,28,Standard,7,7,2024-01-04,15.67,7,1
47,2024-01-02,2024-01-05,1,17,Standard,12,12,2024-01-04,114.67,12,1
48,2024-01-02,2024-01-05,1,22,Standard,16,16,2024-01-04,29.06,16,1
49,2024-01-02,2024-01-08,1,23,Standard,6,6,2024-01-04,124.05,6,1
50,2024-01-02,2024-01-08,1,30,Expedite,5,5,2024-01-04,46.41,5,1
51,2024-01-02,2024-01-08,1,8,Standard,10,10,2024-01-04,72.15,10,1
52,2024-01-02,2024-01-05,1,28,Standard,18,18,2024-01-04,15.67,18,1
53,2024-01-02,2024-01-05,2,1,Standard,13,13,2024-01-04,119.86,13,1
54,2024-01-02,2024-01-08,2,22,Standard,21,21,2024-01-04,29.06,21,1
55,2024-01-02,2024-01-05,2,11,Standard,18,18,2024-01-04,82.82,18,1
56,2024-01-02,2024-01-05,2,27,Standard,18,18,2024-01-04,122.0,18,1
57,2024-01-02,2024-01-08,2,17,Standard,15,15,2024-01-04,114.67,15,1
58,2024-01-02,2024-01-05,2,23,Standard,18,18,2024-01-04,124.05,18,1
59,2024-01-02,2024-01-08,2,3,Expedite,8,8,2024-01-04,52.53,8,1
60,2024-01-02,2024-01-05,2,10,Standard,22,22,2024-01-04,98.47,22,1
61,2024-01-02,2024-01-08,2,12,Standard,9,9,2024-01-04,90.85,9,1
62,2024-01-02,2024-01-05,2,19,Standard,21,21,2024-01-04,21.14,21,1
63,2024-01-02,2024-01-05,3,7,Standard,13,13,2024-01-04,87.71,13,1
64,2024-01-02,2024-01-05,3,15,Standard,6,6,2024-01-04,71.63,6,1
65,2024-01-02,2024-01-08,3,26,Standard,15,15,2024-01-04,86.23,15,1
66,2024-01-02,2024-01-08,3,6,Standard,5,5,2024-01-04,17.11,5,1
67,2024-01-02,2024-01-05,3,10,Standard,22,22,2024-01-04,98.47,22,1
68,2024-01-02,2024-01-05,3,23,Standard,12,12,2024-01-04,124.05,12,1
69,2024-01-02,2024-01-05,3,7,Standard,12,12,2024-01-04,87.71,12,1
70,2024-01-02,2024-01-08,3,29,Standard,9,9,2024-01-04,22.51,9,1
71,2024-01-02,2024-01-05,3,28,Standard,9,9,2024-01-04,15.67,9,1
72,2024-01-02,2024-01-05,3,29,Standard,14,14,2024-01-04,22.51,14,1
73,2024-01-02,2024-01-05,3,16,Standard,16,16,2024-01-04,34.55,16,1
74,2024-01-02,2024-01-05,3,27,Standard,14,14,2024-01-04,122.0,14,1
75,2024-01-02,2024-01-05,3,14,Standard,14,14,2024-01-04,93.02,14,1
76,2024-01-03,2024-01-08,1,4,Standard,12,12,2024-01-05,121.18,12,1
77,2024-01-03,2024-01-08,1,17,Standard,17,17,2024-01-05,114.67,17,1
78,2024-01-03,2024-01-08,1,19,Standard,18,18,2024-01-05,21.14,18,1
79,2024-01-03,2024-01-08,1,14,Standard,6,6,2024-01-05,93.02,6,1
80,2024-01-03,2024-01-08,1,3,Expedite,13,13,2024-01-05,52.53,13,1
81,2024-01-03,2024-01-08,1,2,Standard,21,21,2024-01-05,91.14,21,1
82,2024-01-03,2024-01-08,1,31,Standard,8,8,2024-01-05,33.25,8,1
83,2024-01-03,2024-01-08,1,26,Standard,4,4,2024-01-05,86.23,4,1
84,2024-01-03,2024-01-08,1,4,Standard,13,13,2024-01-05,121.18,13,1
85,2024-01-03,2024-01-08,1,27,Expedite,9,9,2024-01-05,122.0,9,1
86,2024-01-03,2024-01-08,1,15,Standard,16,16,2024-01-05,71.63,16,1
87,2024-01-03,2024-01-08,1,22,Standard,7,7,2024-01-05,29.06,7,1
88,2024-01-03,2024-01-08,1,1,Standard,5,5,2024-01-05,119.86,5,1
89,2024-01-03,2024-01-08,1,27,Standard,12,12,2024-01-05,122.0,12,1
90,2024-01-03,2024-01-08,2,14,Expedite,21,21,2024-01-05,93.02,21,1
91,2024-01-03,2024-01-08,2,15,Standard,15,15,2024-01-05,71.63,15,1
92,2024-01-03,2024-01-08,2,28,Standard,15,15,2024-01-05,15.67,15,1
93,2024-01-03,2024-01-08,2,16,Standard,18,18,2024-01-05,34.55,18,1
94,2024-01-03,2024-01-08,2,32,Standard,12,12,2024-01-05,16.37,12,1
95,2024-01-03,2024-01-08,2,26,Standard,18,18,2024-01-05,86.23,18,1
96,2024-01-03,2024-01-08,2,10,Expedite,6,6,2024-01-05,98.47,6,1
97,2024-01-03,2024-01-08,2,26,Standard,10,10,2024-01-05,86.23,10,1
98,2024-01-03,2024-01-08,2,24,Standard,21,21,2024-01-05,125.75,21,1
99,2024-01-03,2024-01-08,2,12,Standard,10,10,2024-01-05,90.85,10,1
100,2024-01-03,2024-01-08,2,28,Standard,12,12,2024-01-05,15.67,12,1
101,2024-01-03,2024-01-08,2,21,Standard,19,19,2024-01-05,33.14,19,1
102,2024-01-03,2024-01-08,2,28,Expedite,13,13,2024-01-05,15.67,13,1
103,2024-01-03,2024-01-08,2,16,Standard,19,19,2024-01-05,34.55,19,1
104,2024-01-03,2024-01-08,3,24,Standard,15,15,2024-01-05,125.75,15,1
105,2024-01-03,2024-01-08,3,4,Standard,12,12,2024-01-05,121.18,12,1
106,2024-01-03,2024-01-08,3,17,Standard,14,14,2024-01-05,114.67,14,1
107,2024-01-03,2024-01-08,3,1,Standard,18,18,2024-01-05,119.86,18,1
108,2024-01-03,2024-01-08,3,31,Standard,10,10,2024-01-05,33.25,10,1
109,2024-01-03,2024-01-08,3,28,Standard,22,22,2024-01-05,15.67,22,1
110,2024-01-03,2024-01-08,3,24,Standard,16,16,2024-01-05,125.75,16,1
111,2024-01-03,2024-01-08,3,16,Standard,6,6,2024-01-05,34.55,6,1
112,2024-01-03,2024-01-08,3,24,Standard,9,9,2024-01-05,125.75,9,1
113,2024-01-03,2024-01-08,3,30,Expedite,19,19,2024-01-05,46.41,19,1
