PurchaseID,OrderDate,PromisedDate,WarehouseID,ProductID,SupplierID,OrderedUnits,ReceivedUnits,ReceiptDate,OnTimeFull
1,2024-01-01,2024-01-31,1,18,5,159,159,2024-02-02,0
2,2024-01-01,2024-01-31,1,24,5,128,128,2024-01-31,1
3,2024-01-01,2024-01-31,2,17,5,190,190,2024-01-31,1
4,2024-01-01,2024-01-31,2,18,5,148,148,2024-01-31,1
5,2024-01-01,2024-01-31,2,24,5,164,164,2024-01-31,1
6,2024-01-01,2024-01-31,3,17,5,153,153,2024-01-31,1
7,2024-01-01,2024-01-31,3,18,5,164,164,2024-01-31,1
8,2024-01-01,2024-01-31,3,20,5,196,196,2024-02-12,0
9,2024-01-01,2024-01-31,3,21,5,166,166,2024-02-12,0
10,2024-01-01,2024-01-31,3,24,5,162,162,2024-01-31,1
11,2024-01-03,2024-01-19,1,2,3,142,142,2024-01-19,1
12,2024-01-04,2024-02-05,2,20,5,141,141,2024-02-05,1
13,2024-01-04,2024-02-05,2,21,5,150,150,2024-02-05,1
14,2024-01-05,2024-01-22,1,5,3,149,149,2024-01-22,1
15,2024-01-05,2024-01-15,1,16,2,154,154,2024-01-15,1
16,2024-01-08,2024-01-24,1,8,3,126,126,2024-01-29,0
17,2024-01-08,2024-01-16,3,27,6,144,144,2024-01-22,0
18,2024-01-09,2024-01-19,1,4,2,144,144,2024-01-19,1
19,2024-01-09,2024-01-18,1,12,4,147,147,2024-01-18,1
20,2024-01-09,2024-01-19,2,16,2,142,142,2024-01-19,1
21,2024-01-10,2024-02-09,3,23,5,164,164,2024-02-14,0
22,2024-01-11,2024-01-29,1,3,3,145,145,2024-01-29,1
23,2024-01-11,2024-01-22,1,22,2,144,144,2024-01-22,1
24,2024-01-12,2024-02-12,1,23,5,148,148,2024-02-12,1
25,2024-01-12,2024-01-19,1,25,1,171,171,2024-01-19,1
26,2024-01-12,2024-01-29,2,3,3,145,145,2024-01-29,1
27,2024-01-12,2024-01-29,2,8,3,122,122,2024-01-29,1
28,2024-01-15,2024-02-14,1,20,5,154,154,2024-02-14,1
29,2024-01-15,2024-02-14,2,23,5,151,151,2024-02-14,1
30,2024-01-16,2024-02-15,2,24,5,128,128,2024-02-15,1
31,2024-01-16,2024-02-01,3,5,3,156,156,2024-02-01,1
32,2024-01-16,2024-02-01,3,8,3,134,134,2024-02-01,1
33,2024-01-17,2024-02-16,1,21,5,149,149,2024-02-16,1
34,2024-01-17,2024-01-24,2,25,1,141,141,2024-01-24,1
35,2024-01-17,2024-01-29,3,16,2,126,126,2024-01-29,1
36,2024-01-18,2024-02-19,1,17,5,145,145,2024-02-19,1
37,2024-01-18,2024-01-26,2,32,6,140,140,2024-01-26,1
38,2024-01-18,2024-02-05,3,2,3,148,148,2024-02-05,1
39,2024-01-19,2024-01-29,3,4,2,152,152,2024-01-29,1
40,2024-01-19,2024-01-26,3,31,1,156,156,2024-01-26,1
41,2024-01-22,2024-02-07,2,2,3,144,144,2024-02-07,1
42,2024-01-22,2024-02-01,2,28,2,173,173,2024-02-01,1
43,2024-01-23,2024-02-08,1,6,3,143,143,2024-02-08,1
44,2024-01-23,2024-01-30,2,7,1,142,142,2024-02-12,0
45,2024-01-23,2024-02-08,3,3,3,144,144,2024-02-12,0
46,2024-01-24,2024-02-02,1,9,4,151,151,2024-02-05,0
47,2024-01-24,2024-02-02,1,14,4,158,158,2024-02-02,1
48,2024-01-24,2024-01-31,1,31,1,154,154,2024-02-12,0
49,2024-01-24,2024-01-31,3,25,1,149,149,2024-02-02,0
50,2024-01-25,2024-02-02,2,26,6,154,154,2024-02-02,1
51,2024-01-26,2024-02-05,2,15,4,152,152,2024-02-05,1
52,2024-01-29,2024-02-06,1,32,6,128,128,2024-02-08,0
53,2024-01-29,2024-02-06,2,30,6,141,141,2024-02-12,0
54,2024-01-30,2024-02-09,1,16,2,122,122,2024-02-12,0
55,2024-01-30,2024-02-15,2,6,3,147,147,2024-02-15,1
56,2024-01-30,2024-02-09,2,10,2,152,152,2024-02-21,0
57,2024-01-31,2024-02-12,1,28,2,147,147,2024-02-12,1
58,2024-01-31,2024-02-16,2,8,3,126,126,2024-02-19,0
59,2024-01-31,2024-02-07,3,19,1,148,148,2024-02-07,1
60,2024-02-01,2024-02-09,1,26,6,141,141,2024-02-14,0
61,2024-02-01,2024-02-09,2,29,6,156,156,2024-02-09,1
62,2024-02-01,2024-02-12,3,28,2,147,147,2024-02-12,1
63,2024-02-01,2024-02-09,3,32,6,130,130,2024-02-09,1
64,2024-02-02,2024-02-12,2,4,2,145,145,2024-02-14,0
65,2024-02-02,2024-02-19,3,6,3,148,148,2024-02-19,1
66,2024-02-02,2024-02-12,3,22,2,148,148,2024-02-14,0
67,2024-02-05,2024-02-14,1,12,4,148,148,2024-02-14,1
68,2024-02-05,2024-02-12,2,1,1,142,142,2024-02-14,0
69,2024-02-06,2024-02-15,2,9,4,170,170,2024-02-15,1
70,2024-02-06,2024-03-07,2,17,5,143,143,2024-03-11,0
71,2024-02-06,2024-02-15,3,12,4,145,145,2024-02-15,1
72,2024-02-06,2024-02-15,3,14,4,152,152,2024-02-15,1
73,2024-02-07,2024-02-14,1,13,1,146,146,2024-02-14,1
74,2024-02-07,2024-03-08,1,18,5,149,149,2024-03-11,0
75,2024-02-07,2024-02-14,1,19,1,142,142,2024-02-14,1
76,2024-02-08,2024-02-15,1,1,1,169,169,2024-02-15,1
77,2024-02-08,2024-02-15,2,19,1,142,142,2024-02-15,1
78,2024-02-09,2024-02-19,1,27,6,141,141,2024-02-21,0
79,2024-02-09,2024-02-19,2,14,4,162,162,2024-02-19,1
80,2024-02-09,2024-02-19,3,26,6,154,154,2024-02-19,1
81,2024-02-09,2024-02-19,3,30,6,158,158,2024-02-21,0
82,2024-02-12,2024-02-28,1,5,3,151,151,2024-03-01,0
83,2024-02-12,2024-03-13,2,24,5,144,144,2024-03-18,0
