ReceiptID,PurchaseID,Date,WarehouseID,ProductID,SupplierID,Units,ValueUSD,LeadDays,OnTime
1,15,2024-01-15,1,16,2,154,3432.66,10,1
2,19,2024-01-18,1,12,4,147,8615.67,9,1
3,11,2024-01-19,1,2,3,142,8349.6,16,1
4,18,2024-01-19,1,4,2,144,11257.92,10,1
5,20,2024-01-19,2,16,2,142,3165.18,10,1
6,25,2024-01-19,1,25,1,171,2240.1,7,1
7,14,2024-01-22,1,5,3,149,837.38,17,1
8,17,2024-01-22,3,27,6,144,11334.24,14,0
9,23,2024-01-22,1,22,2,144,2700.0,11,1
10,34,2024-01-24,2,25,1,141,1847.1,7,1
11,37,2024-01-26,2,32,6,140,1478.4,8,1
12,40,2024-01-26,3,31,1,156,3346.2,7,1
13,16,2024-01-29,1,8,3,126,5865.3,21,0
14,22,2024-01-29,1,3,3,145,4914.05,18,1
15,26,2024-01-29,2,3,3,145,4914.05,17,1
16,27,2024-01-29,2,8,3,122,5679.1,17,1
17,35,2024-01-29,3,16,2,126,2808.54,12,1
18,39,2024-01-29,3,4,2,152,11883.36,10,1
19,2,2024-01-31,1,24,5,128,10384.64,30,1
20,3,2024-01-31,2,17,5,190,14056.2,30,1
21,4,2024-01-31,2,18,5,148,6916.04,30,1
22,5,2024-01-31,2,24,5,164,13305.32,30,1
23,6,2024-01-31,3,17,5,153,11318.94,30,1
24,7,2024-01-31,3,18,5,164,7663.72,30,1
25,10,2024-01-31,3,24,5,162,13143.06,30,1
26,31,2024-02-01,3,5,3,156,876.72,16,1
27,32,2024-02-01,3,8,3,134,6237.7,16,1
28,42,2024-02-01,2,28,2,173,1749.03,10,1
29,1,2024-02-02,1,18,5,159,7430.07,32,0
30,47,2024-02-02,1,14,4,158,9481.58,9,1
31,49,2024-02-02,3,25,1,149,1951.9,9,0
32,50,2024-02-02,2,26,6,154,8567.02,8,1
33,12,2024-02-05,2,20,5,141,8248.5,32,1
34,13,2024-02-05,2,21,5,150,3207.0,32,1
35,38,2024-02-05,3,2,3,148,8702.4,18,1
36,46,2024-02-05,1,9,4,151,1543.22,12,0
37,51,2024-02-05,2,15,4,152,7023.92,10,1
