ShipmentID,OrderID,Date,WarehouseID,ProductID,Units,COGSUSD,RevenueUSD,CycleUnitDays,OnTimeUnits
1,1,2024-01-03,1,32,6,63.36,98.22,12,6
2,2,2024-01-03,1,8,3,139.65,216.45,6,3
3,3,2024-01-03,1,25,18,235.8,365.4,36,18
4,4,2024-01-03,1,15,10,462.1,716.3,20,10
5,5,2024-01-03,1,31,13,278.85,432.25,26,13
6,6,2024-01-03,1,15,12,554.52,859.56,24,12
7,7,2024-01-03,1,22,17,318.75,494.02,34,17
8,8,2024-01-03,1,9,22,224.84,348.48,44,22
9,9,2024-01-03,1,32,3,31.68,49.11,6,3
10,10,2024-01-03,1,12,7,410.27,635.95,14,7
11,11,2024-01-03,1,18,14,654.22,1014.02,28,14
12,12,2024-01-03,1,22,7,131.25,203.42,14,7
13,13,2024-01-03,1,31,12,257.4,399.0,24,12
14,14,2024-01-03,1,13,13,951.6,1474.98,26,13
15,15,2024-01-03,2,30,5,149.7,232.05,10,5
16,16,2024-01-03,2,20,3,175.5,272.01,6,3
17,17,2024-01-03,2,21,3,64.14,99.42,6,3
18,18,2024-01-03,2,28,14,141.54,219.38,28,14
19,19,2024-01-03,2,16,18,401.22,621.9,36,18
20,20,2024-01-03,2,9,16,163.52,253.44,32,16
21,21,2024-01-03,2,26,14,778.82,1207.22,28,14
22,22,2024-01-03,2,32,21,221.76,343.77,42,21
23,23,2024-01-03,2,6,10,110.4,171.1,20,10
24,24,2024-01-03,2,18,8,373.84,579.44,16,8
25,25,2024-01-03,3,9,10,102.2,158.4,20,10
26,26,2024-01-03,3,10,17,1080.01,1673.99,34,17
27,27,2024-01-03,3,24,5,405.65,628.75,10,5
28,28,2024-01-03,3,7,20,1131.8,1754.2,40,20
29,29,2024-01-03,3,1,14,1082.62,1678.04,28,14
30,30,2024-01-03,3,23,13,1040.39,1612.65,26,13
31,31,2024-01-03,3,21,19,406.22,629.66,38,19
32,32,2024-01-03,3,30,11,329.34,510.51,22,11
33,33,2024-01-03,3,31,9,193.05,299.25,18,9
34,34,2024-01-03,3,25,7,91.7,142.1,14,7
35,35,2024-01-03,3,15,6,277.26,429.78,12,6
36,36,2024-01-03,3,25,15,196.5,304.5,30,15
37,37,2024-01-03,3,29,8,116.16,180.08,16,8
38,38,2024-01-03,3,2,3,176.4,273.42,6,3
39,39,2024-01-04,1,28,13,131.43,203.71,26,13
40,40,2024-01-04,1,9,14,143.08,221.76,28,14
41,41,2024-01-04,1,11,8,427.44,662.56,16,8
42,42,2024-01-04,1,12,11,644.71,999.35,22,11
43,43,2024-01-04,1,16,21,468.09,725.55,42,21
44,44,2024-01-04,1,1,10,773.3,1198.6,20,10
45,45,2024-01-04,1,19,22,300.08,465.08,44,22
46,46,2024-01-04,1,28,7,70.77,109.69,14,7
47,47,2024-01-04,1,17,12,887.76,1376.04,24,12
48,48,2024-01-04,1,22,16,300.0,464.96,32,16
49,49,2024-01-04,1,23,6,480.18,744.3,12,6
50,50,2024-01-04,1,30,5,149.7,232.05,10,5
51,51,2024-01-04,1,8,10,465.5,721.5,20,10
52,52,2024-01-04,1,28,18,181.98,282.06,36,18
53,53,2024-01-04,2,1,13,1005.29,1558.18,26,13
54,54,2024-01-04,2,22,21,393.75,610.26,42,21
55,55,2024-01-04,2,11,18,961.74,1490.76,36,18
56,56,2024-01-04,2,27,18,1416.78,2196.0,36,18
57,57,2024-01-04,2,17,15,1109.7,1720.05,30,15
58,58,2024-01-04,2,23,18,1440.54,2232.9,36,18
59,59,2024-01-04,2,3,8,271.12,420.24,16,8
60,60,2024-01-04,2,10,22,1397.66,2166.34,44,22
61,61,2024-01-04,2,12,9,527.49,817.65,18,9
62,62,2024-01-04,2,19,21,286.44,443.94,42,21
63,63,2024-01-04,3,7,13,735.67,1140.23,26,13
64,64,2024-01-04,3,15,6,277.26,429.78,12,6
65,65,2024-01-04,3,26,15,834.45,1293.45,30,15
66,66,2024-01-04,3,6,5,55.2,85.55,10,5
67,67,2024-01-04,3,10,22,1397.66,2166.34,44,22
68,68,2024-01-04,3,23,12,960.36,1488.6,24,12
69,69,2024-01-04,3,7,12,679.08,1052.52,24,12
70,70,2024-01-04,3,29,9,130.68,202.59,18,9
71,71,2024-01-04,3,28,9,90.99,141.03,18,9
72,72,2024-01-04,3,29,14,203.28,315.14,28,14
73,73,2024-01-04,3,16,16,356.64,552.8,32,16
74,74,2024-01-04,3,27,14,1101.94,1708.0,28,14
75,75,2024-01-04,3,14,14,840.14,1302.28,28,14
76,76,2024-01-05,1,4,12,938.16,1454.16,24,12
77,77,2024-01-05,1,17,17,1257.66,1949.39,34,17
78,78,2024-01-05,1,19,18,245.52,380.52,36,18
79,79,2024-01-05,1,14,6,360.06,558.12,12,6
80,80,2024-01-05,1,3,13,440.57,682.89,26,13
81,81,2024-01-05,1,2,21,1234.8,1913.94,42,21
82,82,2024-01-05,1,31,8,171.6,266.0,16,8
83,83,2024-01-05,1,26,4,222.52,344.92,8,4
84,84,2024-01-05,1,4,13,1016.34,1575.34,26,13
85,85,2024-01-05,1,27,9,708.39,1098.0,18,9
86,86,2024-01-05,1,15,16,739.36,1146.08,32,16
87,87,2024-01-05,1,22,7,131.25,203.42,14,7
88,88,2024-01-05,1,1,5,386.65,599.3,10,5
89,89,2024-01-05,1,27,12,944.52,1464.0,24,12
90,90,2024-01-05,2,14,21,1260.21,1953.42,42,21
91,91,2024-01-05,2,15,15,693.15,1074.45,30,15
92,92,2024-01-05,2,28,15,151.65,235.05,30,15
93,93,2024-01-05,2,16,18,401.22,621.9,36,18
94,94,2024-01-05,2,32,12,126.72,196.44,24,12
95,95,2024-01-05,2,26,18,1001.34,1552.14,36,18
96,96,2024-01-05,2,10,6,381.18,590.82,12,6
97,97,2024-01-05,2,26,10,556.3,862.3,20,10
98,98,2024-01-05,2,24,21,1703.73,2640.75,42,21
99,99,2024-01-05,2,12,10,586.1,908.5,20,10
100,100,2024-01-05,2,28,12,121.32,188.04,24,12
101,101,2024-01-05,2,21,19,406.22,629.66,38,19
102,102,2024-01-05,2,28,13,131.43,203.71,26,13
103,103,2024-01-05,2,16,19,423.51,656.45,38,19
104,104,2024-01-05,3,24,15,1216.95,1886.25,30,15
105,105,2024-01-05,3,4,12,938.16,1454.16,24,12
106,106,2024-01-05,3,17,14,1035.72,1605.38,28,14
107,107,2024-01-05,3,1,18,1391.94,2157.48,36,18
108,108,2024-01-05,3,31,10,214.5,332.5,20,10
109,109,2024-01-05,3,28,22,222.42,344.74,44,22
110,110,2024-01-05,3,24,16,1298.08,2012.0,32,16
111,111,2024-01-05,3,16,6,133.74,207.3,12,6
112,112,2024-01-05,3,24,9,730.17,1131.75,18,9
113,113,2024-01-05,3,30,19,568.86,881.79,38,19
114,114,2024-01-05,3,6,6,66.24,102.66,12,6
115,115,2024-01-05,3,6,6,66.24,102.66,12,6
116,116,2024-01-08,1,23,11,880.33,1364.55,44,11
117,117,2024-01-08,1,28,12,121.32,188.04,48,12
118,118,2024-01-08,1,5,16,89.92,139.36,64,16
119,119,2024-01-08,1,28,4,40.44,62.68,16,4
120,120,2024-01-08,1,9,8,81.76,126.72,32,8
121,121,2024-01-08,1,16,13,289.77,449.15,52,13
122,122,2024-01-08,1,5,20,112.4,174.2,80,20
123,123,2024-01-08,1,14,16,960.16,1488.32,64,16
124,124,2024-01-08,1,32,9,95.04,147.33,36,9
125,125,2024-01-08,1,30,21,628.74,974.61,84,21
126,126,2024-01-08,1,12,22,1289.42,1998.7,88,22
127,127,2024-01-08,1,19,21,286.44,443.94,84,21
128,128,2024-01-08,1,9,11,112.42,174.24,44,11
129,129,2024-01-08,2,4,3,234.54,363.54,12,3
130,130,2024-01-08,2,3,13,440.57,682.89,52,13
131,131,2024-01-08,2,18,10,467.3,724.3,40,10
132,132,2024-01-08,2,32,12,126.72,196.44,48,12
133,133,2024-01-08,2,19,4,54.56,84.56,16,4
134,134,2024-01-08,2,20,20,1170.0,1813.4,80,20
135,135,2024-01-08,2,30,10,299.4,464.1,40,10
136,136,2024-01-08,2,21,6,128.28,198.84,24,6
137,137,2024-01-08,2,18,9,420.57,651.87,36,9
138,138,2024-01-08,2,24,19,1541.47,2389.25,76,19
139,139,2024-01-08,2,7,3,169.77,263.13,12,3
140,140,2024-01-08,2,21,21,448.98,695.94,84,21
141,141,2024-01-08,2,9,18,183.96,285.12,72,18
142,142,2024-01-08,2,25,6,78.6,121.8,24,6
143,143,2024-01-08,2,11,14,748.02,1159.48,56,14
144,144,2024-01-08,3,22,8,150.0,232.48,32,8
145,145,2024-01-08,3,22,4,75.0,116.24,16,4
146,146,2024-01-08,3,26,11,611.93,948.53,44,11
147,147,2024-01-08,3,9,4,40.88,63.36,16,4
148,148,2024-01-08,3,27,13,1023.23,1586.0,52,13
149,149,2024-01-08,3,23,14,1120.42,1736.7,56,14
150,150,2024-01-08,3,29,5,72.6,112.55,20,5
151,151,2024-01-08,3,3,5,169.45,262.65,20,5
152,152,2024-01-08,3,3,15,508.35,787.95,60,15
153,153,2024-01-08,3,1,6,463.98,719.16,24,6
154,154,2024-01-08,3,21,14,299.32,463.96,56,14
155,155,2024-01-08,3,27,20,1574.2,2440.0,80,20
156,156,2024-01-08,3,18,8,373.84,579.44,32,8
157,157,2024-01-08,3,21,13,277.94,430.82,52,13
158,158,2024-01-08,3,14,9,540.09,837.18,36,9
159,128,2024-01-09,1,9,3,30.66,47.52,15,0
160,159,2024-01-09,1,8,4,186.2,288.6,16,4
161,160,2024-01-09,1,2,9,529.2,820.26,36,0
162,161,2024-01-09,1,28,16,161.76,250.72,64,0
163,162,2024-01-09,1,3,11,372.79,577.83,44,0
164,163,2024-01-09,1,3,7,237.23,367.71,28,0
165,164,2024-01-09,1,18,16,747.68,1158.88,64,16
166,165,2024-01-09,1,12,10,586.1,908.5,40,0
167,166,2024-01-09,1,32,4,42.24,65.48,16,0
168,167,2024-01-09,1,5,22,123.64,191.62,88,0
169,168,2024-01-09,1,16,14,312.06,483.7,56,0
170,169,2024-01-09,1,7,4,226.36,350.84,16,0
171,170,2024-01-09,1,16,20,445.8,691.0,80,0
172,171,2024-01-09,1,21,9,192.42,298.26,36,0
173,172,2024-01-09,1,18,16,747.68,1158.88,64,16
174,173,2024-01-09,1,11,7,374.01,579.74,28,7
175,174,2024-01-09,2,17,12,887.76,1376.04,48,0
176,175,2024-01-09,2,29,10,145.2,225.1,40,0
177,176,2024-01-09,2,29,13,188.76,292.63,52,13
178,177,2024-01-09,2,4,11,859.98,1332.98,44,0
179,178,2024-01-09,2,14,15,900.15,1395.3,60,0
180,179,2024-01-09,2,25,17,222.7,345.1,68,0
181,180,2024-01-09,2,10,8,508.24,787.76,32,0
182,181,2024-01-09,2,28,20,202.2,313.4,80,20
183,182,2024-01-09,2,20,22,1287.0,1994.74,88,0
184,183,2024-01-09,2,29,10,145.2,225.1,40,10
185,184,2024-01-09,2,8,18,837.9,1298.7,72,0
186,185,2024-01-09,2,10,8,508.24,787.76,32,0
187,186,2024-01-09,2,29,19,275.88,427.69,76,0
188,187,2024-01-09,3,15,17,785.57,1217.71,68,0
189,188,2024-01-09,3,25,13,170.3,263.9,52,0
190,189,2024-01-09,3,1,6,463.98,719.16,24,6
191,190,2024-01-09,3,27,6,472.26,732.0,24,0
192,191,2024-01-09,3,5,17,95.54,148.07,68,17
193,192,2024-01-09,3,25,3,39.3,60.9,12,3
194,193,2024-01-09,3,32,19,200.64,311.03,76,19
195,194,2024-01-09,3,8,19,884.45,1370.85,76,0
196,195,2024-01-09,3,7,21,1188.39,1841.91,84,0
197,196,2024-01-09,3,4,9,703.62,1090.62,36,0
198,197,2024-01-09,3,31,17,364.65,565.25,68,0
199,198,2024-01-09,3,7,4,226.36,350.84,16,4
200,199,2024-01-09,3,1,21,1623.93,2517.06,84,21
201,200,2024-01-09,3,3,12,406.68,630.36,48,0
202,201,2024-01-10,1,5,8,44.96,69.68,16,8
203,202,2024-01-10,1,25,15,196.5,304.5,30,15
204,203,2024-01-10,1,18,22,1028.06,1593.46,44,22
205,204,2024-01-10,1,3,12,406.68,630.36,24,12
206,205,2024-01-10,1,11,11,587.73,911.02,22,11
207,206,2024-01-10,1,5,22,123.64,191.62,44,22
208,207,2024-01-10,1,22,17,318.75,494.02,34,17
209,208,2024-01-10,1,1,15,1159.95,1797.9,30,15
210,209,2024-01-10,1,8,6,279.3,432.9,12,6
211,210,2024-01-10,1,4,18,1407.24,2181.24,36,18
212,211,2024-01-10,1,23,19,1520.57,2356.95,38,19
213,212,2024-01-10,1,9,21,214.62,332.64,42,21
214,213,2024-01-10,2,17,21,1553.58,2408.07,42,21
215,214,2024-01-10,2,5,3,16.86,26.13,6,3
216,215,2024-01-10,2,24,15,1216.95,1886.25,30,15
217,216,2024-01-10,2,10,20,1270.6,1969.4,40,20
218,217,2024-01-10,2,24,10,811.3,1257.5,20,10
219,218,2024-01-10,2,21,8,171.04,265.12,16,8
220,219,2024-01-10,2,28,5,50.55,78.35,10,5
221,220,2024-01-10,2,29,5,72.6,112.55,10,5
222,221,2024-01-10,2,16,3,66.87,103.65,6,3
223,222,2024-01-10,2,26,15,834.45,1293.45,30,15
224,223,2024-01-10,2,19,14,190.96,295.96,28,14
225,224,2024-01-10,2,8,15,698.25,1082.25,30,15
226,225,2024-01-10,2,2,13,764.4,1184.82,26,13
227,200,2024-01-10,3,3,5,169.45,262.65,25,0
228,226,2024-01-10,3,9,11,112.42,174.24,22,11
229,227,2024-01-10,3,19,18,245.52,380.52,36,18
230,228,2024-01-10,3,16,14,312.06,483.7,28,14
231,229,2024-01-10,3,25,17,222.7,345.1,34,17
232,230,2024-01-10,3,27,13,1023.23,1586.0,26,13
