Date,WarehouseID,Stage,CapacityUnits,CompletedUnits,OpeningQueueUnits,ClosingQueueUnits,WaitUnitDays
2024-01-01,1,Dispatch,213,0,0,0,0
2024-01-01,1,Pack,235,0,0,0,0
2024-01-01,1,Pick,267,157,157,0,0
2024-01-01,2,Dispatch,238,0,0,0,0
2024-01-01,2,Pack,208,0,0,0,0
2024-01-01,2,Pick,264,112,112,0,0
2024-01-01,3,Dispatch,214,0,0,0,0
2024-01-01,3,Pack,221,0,0,0,0
2024-01-01,3,Pick,251,157,157,0,0
2024-01-02,1,Dispatch,201,0,0,0,0
2024-01-02,1,Pack,199,157,157,0,157
2024-01-02,1,Pick,236,173,173,0,0
2024-01-02,2,Dispatch,259,0,0,0,0
2024-01-02,2,Pack,190,112,112,0,112
2024-01-02,2,Pick,247,163,163,0,0
2024-01-02,3,Dispatch,253,0,0,0,0
2024-01-02,3,Pack,223,157,157,0,157
2024-01-02,3,Pick,263,161,161,0,0
2024-01-03,1,Dispatch,258,157,157,0,157
2024-01-03,1,Pack,197,173,173,0,173
2024-01-03,1,Pick,267,161,161,0,0
2024-01-03,2,Dispatch,229,112,112,0,112
2024-01-03,2,Pack,227,163,163,0,163
2024-01-03,2,Pick,209,209,209,0,0
2024-01-03,3,Dispatch,252,157,157,0,157
2024-01-03,3,Pack,189,161,161,0,161
2024-01-03,3,Pick,223,153,153,0,0
2024-01-04,1,Dispatch,223,173,173,0,173
2024-01-04,1,Pack,203,161,161,0,161
2024-01-04,1,Pick,254,187,187,0,0
2024-01-04,2,Dispatch,214,163,163,0,163
2024-01-04,2,Pack,231,209,209,0,209
2024-01-04,2,Pick,236,168,168,0,0
2024-01-04,3,Dispatch,207,161,161,0,161
2024-01-04,3,Pack,223,153,153,0,153
2024-01-04,3,Pick,244,149,149,0,0
2024-01-05,1,Dispatch,253,161,161,0,161
2024-01-05,1,Pack,184,184,187,3,184
2024-01-05,1,Pick,251,169,169,0,0
2024-01-05,2,Dispatch,246,209,209,0,209
2024-01-05,2,Pack,239,168,168,0,168
2024-01-05,2,Pick,240,183,183,0,0
2024-01-05,3,Dispatch,211,153,153,0,153
2024-01-05,3,Pack,215,149,149,0,149
2024-01-05,3,Pick,217,189,189,0,0
2024-01-08,1,Dispatch,209,184,184,0,552
2024-01-08,1,Pack,236,172,172,0,519
2024-01-08,1,Pick,261,186,186,0,0
2024-01-08,2,Dispatch,260,168,168,0,504
2024-01-08,2,Pack,216,183,183,0,549
2024-01-08,2,Pick,231,147,147,0,0
2024-01-08,3,Dispatch,248,149,149,0,447
2024-01-08,3,Pack,184,184,189,5,552
2024-01-08,3,Pick,242,170,170,0,0
2024-01-09,1,Dispatch,213,172,172,0,172
2024-01-09,1,Pack,237,186,186,0,186
2024-01-09,1,Pick,254,182,182,0,0
2024-01-09,2,Dispatch,235,183,183,0,183
2024-01-09,2,Pack,228,147,147,0,147
2024-01-09,2,Pick,229,193,193,0,0
2024-01-09,3,Dispatch,223,184,184,0,184
2024-01-09,3,Pack,219,175,175,0,190
2024-01-09,3,Pick,228,139,139,0,0
2024-01-10,1,Dispatch,224,186,186,0,186
2024-01-10,1,Pack,235,182,182,0,182
2024-01-10,1,Pick,215,127,127,0,0
2024-01-10,2,Dispatch,227,147,147,0,147
2024-01-10,2,Pack,222,193,193,0,193
2024-01-10,2,Pick,232,115,115,0,0
2024-01-10,3,Dispatch,207,175,175,0,175
2024-01-10,3,Pack,185,139,139,0,139
2024-01-10,3,Pick,246,143,143,0,0
2024-01-11,1,Dispatch,230,182,182,0,182
2024-01-11,1,Pack,191,127,127,0,127
2024-01-11,1,Pick,262,141,141,0,0
2024-01-11,2,Dispatch,235,193,193,0,193
2024-01-11,2,Pack,238,115,115,0,115
2024-01-11,2,Pick,236,178,178,0,0
2024-01-11,3,Dispatch,234,139,139,0,139
2024-01-11,3,Pack,195,143,143,0,143
2024-01-11,3,Pick,266,119,119,0,0
2024-01-12,1,Dispatch,201,127,127,0,127
2024-01-12,1,Pack,217,141,141,0,141
2024-01-12,1,Pick,221,156,156,0,0
2024-01-12,2,Dispatch,244,115,115,0,115
2024-01-12,2,Pack,200,178,178,0,178
2024-01-12,2,Pick,234,139,139,0,0
2024-01-12,3,Dispatch,219,143,143,0,143
